Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
3000,2999.1,1.1,2999.1,1.2,684.7
3100,3098.8,0.2,3098.8,1,707.5
3200,3198,0.2,3198,1,730
3300,3296.5,2.3,3296.5,1.6,752.6
3400,3397.5,0.2,3397.5,1,775.7
3500,3499.8,0.2,3499.8,1,798.8
3600,3300.7,5.6,3300.7,1.7,753.3
3700,3696.5,0.2,3696.5,1,843.8
3800,3796.8,0.2,3796.8,1,866.6
3900,3305.2,3.8,3305.2,1.9,754.2
4000,3995.6,0.3,3995.6,1.1,912.1
4100,4097.1,0.3,4097.1,1.1,935.1
4200,3316.2,2.6,3316.2,2.1,756.5
4300,4298.7,0.2,4298.7,1.1,981
4400,4397.4,0.3,4397.4,1.1,1003.2
4500,3301,7.2,3301,2.2,752.9
4600,4596,0.3,4596,1.1,1048.8
4700,4698.9,0.3,4698.9,1.1,1071.4
4800,3298.5,4.5,3298.5,2.5,751.9
4900,4895.9,0.3,4895.9,1.1,1117
5000,4994.5,0.3,4994.5,1.2,1138.9
5100,3299.4,9.6,3299.4,3,751.7
5200,5191,0.3,5191,1.2,1183.8
5300,5296.1,0.3,5296.1,1.2,1207.1
5400,3301.9,8.1,3301.9,2.7,752.6
5500,5490.7,0.3,5490.7,1.2,1252.1
5600,5595.2,0.3,5595.2,1.3,1275
5700,3298.7,14.1,3298.7,2.9,751.8
5800,5796.4,0.3,5796.4,1.2,1321
5900,5892.5,0.3,5892.5,1.3,1342.9
6000,3304.6,16.2,3304.6,3,752.7
6100,6089.6,0.3,6089.6,1.3,1387.6
6200,6188.6,0.3,6188.6,1.4,1409.8
6300,3299.2,13.2,3299.2,3.1,751.3
6400,6395.6,0.3,6395.6,1.4,1457.1
6500,6496.4,0.3,6496.4,1.6,1478.6
6600,3303.7,16.8,3303.7,3.4,751.6
6700,6692.5,0.3,6692.5,1.5,1523.4
6800,6788.9,0.3,6788.9,1.8,1544.4
6900,3301,12.3,3301,4.8,750.6
7000,6991.9,0.3,6991.9,1.7,1590.5
7100,7088.1,0.3,7088.1,2,1610.5
7200,3093.4,19.8,3093.4,5.4,703.2
7300,7283.7,0.3,7283.7,2.3,1654.1
7400,7386,0.3,7386,2.8,1676.6
7500,3264.3,20.7,3264.3,7.6,739.5
7600,3312.1,2.1,3312.1,3.8,749.8
7700,7397.9,0.4,7397.9,4.7,1675.3
7800,2486.9,54.9,2486.9,14.7,560.7
7900,2430,26.4,2430,8.5,548.4
8000,2383.8,41.1,2383.8,7.9,537.9
8100,205.3,0.3,14.3,13.4,2.6
8200,2420.8,86.4,2420.8,11.1,545.3
8300,2393.4,46.8,2393.4,10.1,537.5
8400,2395,103.4,2395,21.3,538.2
8500,2394.8,89.3,2394.8,13.3,537
8600,2410.9,43.9,2410.9,11.3,540.5
8700,2439.4,161.2,2439.4,19.6,545.8
8800,2447.9,102.8,2447.9,15.3,548.8
8900,2428.3,112.7,2428.3,18.5,544.5
9000,2445.5,115.7,2445.5,25.3,547
9100,2453.2,107,2453.2,15.3,548.5
9200,2502.2,70.5,2502.2,14.9,559.3
9300,2460.2,117.5,2460.2,22.4,549.4
9400,2596.7,78.5,2596.7,15.8,580.3
9500,2489,162.8,2489,18.8,556.6
9600,2495.1,175.1,2495.1,26.8,555.8
9700,2554.1,74.1,2554.1,20.4,569.1
9800,2582.6,53.2,2582.6,22.5,574.8
9900,2639.3,81.6,2639.3,29.2,587.7
10000,2632.3,21.1,2632.3,22.9,585.6
