Rate,Connection Rate(conn/s),Connection Time(ms),Request Rate(req/s),Reply Time(ms),Net I/O(KB/s)
1000,735.5,15.1,73546.8,24.7,14005.5
1100,1078.2,0.4,107817.5,1.0,20531.7
1200,1173.2,0.4,117320.9,1.1,22341.4
1300,1267.6,0.4,126764.5,1.3,24139.7
1400,1344.6,0.5,134455.1,2.1,25604.2
1500,1369.3,1.0,136931.3,3.7,26075.8
1600,1381.2,1.6,138115.5,5.4,26301.3
1700,1390.9,2.2,139090.6,7.0,26487.0
1800,1379.6,2.8,137959.7,8.8,26271.6
1900,1379.6,3.1,137956.2,10.2,26271.0
2000,1004.4,5.0,100444.9,9.9,19127.7
2100,930.1,4.4,93009.0,10.6,17711.7
2200,945.5,10.6,94549.0,12.1,18004.9
2300,985.7,10.9,98567.9,12.3,18770.3
2400,1010.9,8.3,101090.1,13.7,19250.5
2500,1009.1,10.0,100910.4,17.1,19216.3
2600,1044.5,24.3,104449.9,17.6,19890.4
2700,1339.0,7.4,133899.6,18.6,25498.5
2800,1204.5,17.6,120452.8,18.8,22937.8
2900,1065.4,39.3,106540.4,19.6,20288.4
3000,1083.2,15.0,108321.1,18.6,20627.5
3100,1127.5,15.0,112754.5,18.5,21471.8
3200,1104.2,13.5,110423.8,18.9,21028.0
3300,1115.1,103.6,111510.2,17.6,21234.9
3400,1158.9,26.4,115890.1,19.1,22068.9
3500,1193.8,35.6,119384.2,23.1,22734.3
3600,1198.1,50.4,119809.1,22.5,22815.2
3700,1218.4,45.1,121841.9,23.2,23202.3
3800,1170.1,53.1,117012.2,23.5,22282.6
3900,1233.5,10.1,123354.5,26.7,23490.3
4000,1271.6,51.1,127163.6,21.8,24215.7
4100,1198.3,59.7,119831.3,21.6,22819.4
4200,1186.0,43.5,118598.4,22.8,22584.7
4300,1209.2,48.6,120923.6,23.1,23027.4
4400,1247.5,81.2,124751.2,22.6,23756.3
4500,1259.8,41.6,125979.3,27.2,23990.2
4600,1261.5,10.4,126151.3,27.3,24022.9
4700,1223.5,67.2,122350.7,25.1,23299.2
4800,1255.3,79.4,125528.4,23.1,23904.3
4900,1229.4,37.3,122937.5,24.0,23411.0
5000,1266.8,41.6,126679.4,27.5,24123.5
5100,1242.6,92.9,124259.5,27.4,23662.7
5200,1267.2,89.8,126723.5,24.7,24131.9
5300,1257.2,94.6,125719.5,24.3,23940.7
5400,1300.0,76.2,130001.7,25.2,24756.2

